Site ID,,Date,E.coli (MPN/100mL),Chlorophyll a (ug/L),Time (current),TP as P (ug/L) ,OP as P (ug/L),Nitrite as N (ug/L),Nitrate as N (mg/L),Date,CSO Discharge Duration (Hours),Total CSO Discharge Volume (MG),Primary (Secondary Bypass) Total Volume (MGD),Secondary Effluent (MGD),
MERA,Merrimack River @ Andover Intake,9/21/2017,106,,10:10,,,,,,,,,,
MERA                ,Merrimack River @ Andover Intake,5/17/2017,34,,11:34,,,,,,,,,,
MERA                ,Merrimack River @ Andover Intake,5/26/2017,875,,12:15,36,,,,,,,,,
MERA                ,Merrimack River @ Andover Intake,6/13/2017,43,,10:34,,,,,,,,,,
MERA                ,Merrimack River @ Andover Intake,6/13/2017,43,,10:34,29,~ND (5)            ,,,,,,,,
MERA                ,Merrimack River @ Andover Intake,6/19/2017,152,,12:12,34,6.2,,,,,,,,
MERA                ,Merrimack River @ Andover Intake,8/14/2017,43,,10:42,,,,,,,,,,
MERA                ,Merrimack River @ Andover Intake,8/14/2017,97,9.80,10:42,75,24.0,,,,,,,,
MERA                ,Merrimack River @ Andover Intake,8/23/2017,152,,10:00,,,,,,,,,,
MERA                ,Merrimack River @ Andover Intake,8/23/2017,202,6.2,10:00,56,35.0,,,,,,,,
MERA                ,Merrimack River @ Andover Intake,9/7/2017,3466,6.2,9:34,79,48.0,,,,,,,,
MERA                ,Merrimack River @ Andover Intake,10/30/2017,9678,,11:45,45,,,,,,,,,
MERBH,Merrimack River @ Abe Bashara Boathouse,5/17/2017,115,,12:14,,,,,,,,,,
MERBH,Merrimack River @ Abe Bashara Boathouse,5/26/2017,4480,,12:50,,,,,,,,,,
MERBH,Merrimack River @ Abe Bashara Boathouse,6/13/2017,205,,12:32,,,,,,,,,,
MERBH,Merrimack River @ Abe Bashara Boathouse,6/19/2017,97,,12:40,6,,,,,,,,,
MERBH,Merrimack River @ Abe Bashara Boathouse,8/14/2017,16,,11:15,,,,,,,,,,
MERBH,Merrimack River @ Abe Bashara Boathouse,8/23/2017,62,,12:22,,,,,,,,,,
MERBH,Merrimack River @ Abe Bashara Boathouse,9/7/2017,176,,10:02,,,,,,,,,,
MERBH,Merrimack River @ Abe Bashara Boathouse,10/30/2017,5199,,14:05,,,,,,,,,,
MERBH (Duplicate)              ,Merrimack River @ Abe Bashara Boathouse,5/26/2017,5199,,12:50,,,,,,,,,,
MERDD               ,Duplicate,5/17/2017,25,,0:00,,,,,,,,,,
MERDD               ,Duplicate,5/26/2017,5199,,13:08,,,,,,,,,,
MERDD               ,Duplicate,6/19/2017,38,,12:12,,,,,,,,,,
MERL,Merrimack River - Lawrence Intake,10/12/2016,12,2.6,12:25,,,,,,,,,,
MERL,Merrimack River - Lawrence Intake,10/26/2016,,5,13:20,,,,,,,,,,
MERL,Merrimack River - Lawrence Intake,11/16/2016,44,,11:00,,,,,,,,,,
MERL,Merrimack River - Lawrence Intake,11/30/2016,34,,10:58,,,,,,,,,,
MERL,Merrimack River - Lawrence Intake,12/14/2016,64,,11:22,,,,,,,,,,
MERL               ,Merrimack River - Lawrence Intake,5/26/2017,2908,,13:26,58,,,,,,,,,
MERL               ,Merrimack River - Lawrence Intake,8/14/2017,12,,11:55,,,,,,,,,,
MERL               ,Merrimack River - Lawrence Intake,8/14/2017,16,13.00,11:55,~66,25.0,,,,,,,,
MERL               ,Merrimack River - Lawrence Intake,8/23/2017,40,,12:56,,,,,,,,,,
MERL               ,Merrimack River - Lawrence Intake,8/23/2017,134,,12:56,65,42.0,ND(30),0.56,,,,,,
MERL               ,Merrimack River - Lawrence Intake,9/7/2017,3466,,10:32,98,64.0,ND(30),0.65,,,,,,
MERL               ,Merrimack River - Lawrence Intake,10/30/2017,3080,,13:30,~58,,,,,,,,,
MERL                ,Merrimack River - Lawrence Intake,5/17/2017,53,,13:14,27,ND(5)   ,ND(12),0.14,,,,,,
MERL                ,Merrimack River - Lawrence Intake,6/13/2017,12,,11:25,30,~8.7,ND(15),0.16,,,,,,
MERL                ,Merrimack River - Lawrence Intake,6/19/2017,40,5.0,14:20,38,14.0,ND(15),0.32,,,,,,
MERMD,Methuen Dock Near I-93 Bridge,5/17/2017,67,,13:25,,,,,,,,,,
MERMD,Methuen Dock Near I-93 Bridge,5/17/2017,67,,12:34,,,,,,,,,,
MERMD,Methuen Dock Near I-93 Bridge,5/26/2017,3683,,13:08,,,,,,,,,,
MERMD,Methuen Dock Near I-93 Bridge,6/13/2017,34,,11:04,,,,,,,,,,
MERMD,Methuen Dock Near I-93 Bridge,6/19/2017,80,,12:54,,,,,,,,,,
MERMD,Methuen Dock Near I-93 Bridge,8/14/2017,34,,,,,,,,,,,,
MERMD,Methuen Dock Near I-93 Bridge,8/14/2017,16,,11:30,,,,,,,,,,
MERMD,Methuen Dock Near I-93 Bridge,8/23/2017,192,,12:36,,,,,,,,,,
MERMD,Methuen Dock Near I-93 Bridge,9/7/2017,5199,,10:15,,,,,,,,,,
MERMD,Methuen Dock Near I-93 Bridge,10/30/2017,5654,,12:01,,,,,,,,,,
mjh,Duplicate,8/23/2017,38,,10:04,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
